id,repository_id,url,stars,commit_count,sizes,fork,release_count,release_id,repos_addr
2913,2780369,https://github.com/bbossgroups/bboss,236,1550,622974,175,24,NULL,NULL
2914,2055952,https://github.com/asksven/BetterBatteryStats,344,204,54379,139,142,NULL,NULL
2915,870849,https://github.com/rtyley/agit,463,894,8512,104,39,NULL,NULL
2916,4315362,https://github.com/plusonelabs/calendar-widget,295,415,30095,104,32,NULL,NULL
2918,2390577,https://github.com/dain/snappy,314,60,2246,68,4,NULL,NULL
2919,2373207,https://github.com/sonian/elasticsearch-jetty,293,234,778,81,35,NULL,NULL
2921,4134527,https://github.com/dspinellis/UMLGraph,241,596,4175,81,19,NULL,NULL
2922,961417,https://github.com/lemire/javaewah,352,656,2273,79,71,NULL,NULL
2923,536411,https://github.com/senseidb/zoie,332,524,11078,124,13,NULL,NULL
2924,1210290,https://github.com/FasterXML/jackson-dataformat-xml,285,879,3349,106,81,NULL,NULL
2925,4118405,https://github.com/johnlindquist/angularjs-plugin,286,32,2178,39,0,NULL,NULL
2927,5294661,https://github.com/fabiomaffioletti/jsondoc,260,376,3736,131,47,NULL,NULL
2929,5320077,https://github.com/julianhyde/optiq,225,839,31113,83,22,NULL,NULL
2930,4123380,https://github.com/walkingp/AndroidCnblogs,279,17,964,219,0,NULL,NULL
2931,4925382,https://github.com/btate/BTAndroidWebViewSelection,291,21,399,129,0,NULL,NULL
2932,481460,https://github.com/joestelmach/natty,412,268,10147,148,15,NULL,NULL
2933,3913468,https://github.com/stormpath/stormpath-sdk-java,218,3793,26808,165,88,NULL,NULL
2934,2185113,https://github.com/neophob/PixelController,216,2521,33345,87,32,NULL,NULL
2935,1944249,https://github.com/serso/android-calculatorpp,252,2220,22067,130,27,NULL,NULL
2936,1775980,https://github.com/zkoss/zk,255,24039,745669,153,121,NULL,NULL
2937,832681,https://github.com/apache/tomcat70,230,11704,40333,227,95,NULL,NULL
2938,666669,https://github.com/krukow/clj-ds,210,59,1061,29,1,NULL,NULL
2939,2860496,https://github.com/rythmengine/rythmengine,224,664,8957,69,21,NULL,NULL
2940,541056,https://github.com/pulse00/Symfony-2-Eclipse-Plugin,221,734,79033,40,11,NULL,NULL
2941,4253330,https://github.com/openjdk-mirror/jdk7u-jdk,251,4984,268166,181,175,NULL,NULL
2943,3122708,https://github.com/bbeck/token-bucket,232,49,289,61,8,NULL,NULL
2944,1761998,https://github.com/mvel/mvel,424,2971,14129,173,371,NULL,NULL
2945,4999785,https://github.com/sharpstill/CronHub,305,30,416124,137,5,NULL,NULL
2946,4242485,https://github.com/before/uadetector,212,698,9927,98,30,NULL,NULL
2947,4155910,https://github.com/BaiduQA/Cafe,351,401,22250,223,1,NULL,NULL
2949,798870,https://github.com/FlowingMedia/TimeFlow,407,16,5739,65,0,NULL,NULL
2950,1400873,https://github.com/sporst/SWFREtools,237,115,9952,31,0,NULL,NULL
2951,3883995,https://github.com/XiaoMi/rose,441,84,1289,310,0,NULL,NULL
2952,4658239,https://github.com/azagniotov/stubby4j,244,1215,25153,84,5,NULL,NULL
2953,342247,https://github.com/ddf/Minim,473,417,125414,112,3,NULL,NULL
2954,285766,https://github.com/pfleidi/yaxim,440,1200,15233,236,36,NULL,NULL
2955,4080157,https://github.com/Ardesco/Selenium-Maven-Template,261,109,130,289,0,NULL,NULL
2956,1167436,https://github.com/beders/Resty,270,98,1457,74,8,NULL,NULL
2957,205414,https://github.com/apache/felix,214,14771,94966,267,981,NULL,NULL
2958,2834175,https://github.com/Asquera/elasticsearch-http-basic,277,77,112,94,11,NULL,NULL
2959,161180,https://github.com/alphazero/jredis,288,314,8845,127,2,NULL,NULL
2960,4994934,https://github.com/manuelbua/libgdx-contribs,222,165,2852,64,7,NULL,NULL
2961,814286,https://github.com/mixare/mixare,408,317,5046,249,22,NULL,NULL
2962,2432524,https://github.com/opensagres/xdocreport,430,1074,26832,173,4,NULL,NULL
2963,3868277,https://github.com/epfldata/squall,263,701,194398,101,1,NULL,NULL
2964,2830168,https://github.com/couchbase/couchbase-java-client,236,935,5358,133,106,NULL,NULL
2965,835507,https://github.com/nysenate/OpenLegislation,209,3068,73446,86,28,NULL,NULL
2966,594627,https://github.com/magro/kryo-serializers,256,291,918,87,32,NULL,NULL
2967,1575956,https://github.com/apache/bookkeeper,371,1789,32784,178,18,NULL,NULL
2968,355568,https://github.com/nzakas/cssembed,398,64,3319,30,2,NULL,NULL
2969,3114475,https://github.com/tomp2p/TomP2P,311,1627,20176,98,46,NULL,NULL
2970,2117769,https://github.com/bytemanproject/byteman,277,914,33962,110,55,NULL,NULL
2971,990281,https://github.com/hibernate/hibernate-search,282,6165,54270,190,135,NULL,NULL
2972,212769,https://github.com/pocmo/Yaaic,287,1066,4411,116,13,NULL,NULL
2973,644197,https://github.com/jbehave/jbehave-core,218,2296,29818,243,122,NULL,NULL
2974,617210,https://github.com/kohsuke/github-api,468,1169,10921,369,93,NULL,NULL
2975,3657930,https://github.com/apache/jackrabbit-oak,239,15176,80659,252,214,NULL,NULL
2976,1320406,https://github.com/anismiles/websocket-android-phonegap,305,40,224,144,0,NULL,NULL
2977,284156,https://github.com/talklittle/reddit-is-fun,364,773,7082,174,10,NULL,NULL
2978,4386586,https://github.com/SimonVT/android-datepicker,251,11,207,145,1,NULL,NULL
2980,1361294,https://github.com/cschneider/Karaf-Tutorial,218,314,942,274,0,NULL,NULL
2981,2068079,https://github.com/madflow/flow-netbeans-markdown,268,240,3813,31,13,NULL,NULL
2982,1381874,https://github.com/helun/Ektorp,268,526,1822,122,10,NULL,NULL
2984,3168103,https://github.com/jexp/batch-import,316,132,366,130,0,NULL,NULL
2985,2155500,https://github.com/apache/bigtop,267,2292,43811,274,29,NULL,NULL
2986,501689,https://github.com/antlr/stringtemplate4,450,795,3388,119,7,NULL,NULL
